CookerStat, GenerateAssetRegistry=0.023544, Initialize=0.125576, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
SavePackageTransactionId43AA8CC74565FA47DE2BD6B92F503B0A_0, Filename=D:/Unreal4Projects_LJS/MyStudy_LJS/Content/TwinStickShooter/Map/TSSMap.umap, AutoPackageBackupDelegate=0.307295, FlushAsyncLoading=0.006944, FlushStreamingFunc=0.114102, BlockTillAllRequestsFinished=0.018716, ResetLoadersForSaveUnMarkAllObjects=0.303973, TagPackageExports=0.099614, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.686128, GatherLocalizableTextData=0.671946, MarkNames=0.009961, SerializeSummary=0.014789, SerializeNames=0.063088, SerializeGatherableTextData=0.001509, BuildExportMap=0.025962, SortExportsNonSeekfree=0.018716, SortExportsSeekfreeConstructor=0.067618, SortExportsSeekfreeInner=3.755446, SortExportsSeekfree=0.006642, BuildDependencyMap=0.018112, SerializeImportMap=0.013888, SerializeExportMap=0.010867, SerializeDependencyMap=0.001810, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.348952, SerializeExports=1.297098, SerializeBulkData=0.016600, MoveFile=1.065869, UnaccountedTime=0.083916, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5EA0472457A985F80B67F9261456F2C__1_0_13123_0, StartTime=2016.06.03-22.58.51, HierarchicalDDC=, DataSize=347, Duration=3.635004, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A9B6567043750FB8DE61889F842B61DA__1_0_13123_0, StartTime=2016.06.03-22.58.51, HierarchicalDDC=, DataSize=437, Duration=3.675152, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_74BF70CC4D282C5DA9AFA6875A8634F3__1_0_13123_0, StartTime=2016.06.03-22.58.51, HierarchicalDDC=, DataSize=347, Duration=3.936265, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EB9241244253C7BA708DBC875EC58265__1_0_13123_0, StartTime=2016.06.03-22.58.51, HierarchicalDDC=, DataSize=579, Duration=3.202744, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_40341A9F4BC5F9E199FCF3925DAC0792__1_0_13123_0, StartTime=2016.06.03-22.58.55, HierarchicalDDC=, DataSize=473, Duration=3.727075, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F97DBF174B9C13879F94AB84587810E4__1_0_13123_0, StartTime=2016.06.03-22.58.55, HierarchicalDDC=, DataSize=437, Duration=6.047178, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E6BDEBD438673A153E4AEAD47E3B261__1_0_13123_0, StartTime=2016.06.03-22.58.55, HierarchicalDDC=, DataSize=1275, Duration=3.158067, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9B109E81405EBF2623702E8BF63ACD31__1_0_13123_0, StartTime=2016.06.03-22.58.55, HierarchicalDDC=, DataSize=347, Duration=3.277000, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8CFCE774453BBD5AD75579D073A7993__1_0_13123_0, StartTime=2016.06.03-22.58.57, HierarchicalDDC=, DataSize=347, Duration=3.631987, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_17D359994BC55229AA794D887EC9E6E5__1_0_13123_0, StartTime=2016.06.03-22.58.57, HierarchicalDDC=, DataSize=523, Duration=13.878953, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_48A447A948D747D58840CDAAD9061B5B__1_0_13123_0, StartTime=2016.06.03-22.58.57, HierarchicalDDC=, DataSize=551, Duration=3.432456, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1F402BFB411163A6602300807B116944__1_0_13123_0, StartTime=2016.06.03-22.58.57, HierarchicalDDC=, DataSize=1413, Duration=4.328985, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FA97020846F7B64057B858A871881F87__1_0_13123_0, StartTime=2016.06.03-22.59.01, HierarchicalDDC=, DataSize=347, Duration=3.462043, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_423030844994AC8F4783F49417B2685D__1_0_13123_0, StartTime=2016.06.03-22.59.01, HierarchicalDDC=, DataSize=603, Duration=3.917549, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_556CFADD4E6CFFA85B9373A68B8B719D__1_0_13123_0, StartTime=2016.06.03-22.59.01, HierarchicalDDC=, DataSize=347, Duration=3.871665, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EC81714149BFA1EC8B715CAD1476BD27__1_0_13123_0, StartTime=2016.06.03-22.59.01, HierarchicalDDC=, DataSize=655, Duration=3.534790, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A938CD740D68ED6651025A32C0F59ED__1_0_13123_0, StartTime=2016.06.03-22.59.05, HierarchicalDDC=, DataSize=473, Duration=18.596735, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_26CFD39142A525BE7D44A384C72BB6EC__1_0_13123_0, StartTime=2016.06.03-22.59.05, HierarchicalDDC=, DataSize=997, Duration=3.595464, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BBAA58EB407CB2305F12F0BE8E655DB3__1_0_13123_0, StartTime=2016.06.03-22.59.05, HierarchicalDDC=, DataSize=1275, Duration=3.168933, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E104739A473C5284923D4293BCCE0FAD__1_0_13123_0, StartTime=2016.06.03-22.59.05, HierarchicalDDC=, DataSize=347, Duration=3.411025, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8FDDCC6541EE3C52E1996987003063CD__1_0_13123_0, StartTime=2016.06.03-22.59.12, HierarchicalDDC=, DataSize=347, Duration=4.078440, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6E10BF6F444FDAD144EE8F80686DCDD8__1_0_13123_0, StartTime=2016.06.03-22.59.12, HierarchicalDDC=, DataSize=783, Duration=4.065458, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8BC8596941564E121CBB97B8C861DF7D__1_0_13123_0, StartTime=2016.06.03-22.59.12, HierarchicalDDC=, DataSize=347, Duration=4.747666, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
